id,header_text,description_text,cause,effect,alert_stop_ids,alert_route_ids,alert_start_times,alert_end_times,timestamp,language,text,locations,times,entities,urgency_label,urgency_score,category
KV15:CXX:2025-06-09:13,"Halte vervalt op 12 juni van 08:00 tot 21:15. Vervangende halte: Rijshornplein.
","Oorzaak : Wielerronde 
Effect : Omleiding 
Maatregelen : Vervangende halte(n) 
Halte vervalt op 12 juni van 08:00 tot 21:15. Vervangende halte: Rijshornplein.

",7.0,6.0,"['2746297', '2746287']",,"[datetime.datetime(2025, 6, 9, 16, 28)]","[datetime.datetime(2025, 6, 12, 5, 59)]",2025-06-17 20:58:38.136159,nl,"Oorzaak : Wielerronde 
Effect : Omleiding 
Maatregelen : Vervangende halte(n) 
Halte vervalt op 12 juni van 08:00 tot 21:15. Vervangende halte: Rijshornplein.

",['Rijshornplein'],[],"[('Rijshornplein', 'LOC')]",neutral,0.573,vervangende
KV15:CXX:2025-06-09:14,Halte tijdelijk vervallen i.v.m. verkeersongeval,"Oorzaak : Ongeval 
Effect : Omleiding 
Maatregelen : Vervallen halte(n) 
Halte tijdelijk vervallen i.v.m. verkeersongeval
",6.0,4.0,"['2749236', '2749235', '2749247', '2749237', '2749229', '2749243', '2749254', '2749228', '2749226', '2749225', '2749241', '2749231', '2749251', '2749258', '2749255', '2748906', '2749240', '2749250', '2749257', '2749238', '2749249', '2749239', '2749220', '2749227', '2749234', '2749233', '2749244', '2749246', '2749253', '2749245', '2749232', '2749219', '2749242', '2749256', '2749252', '2749248', '2748903', '2749230']",,"[datetime.datetime(2025, 6, 9, 17, 55)]","[datetime.datetime(2025, 6, 9, 21, 59)]",2025-06-17 20:58:38.982386,nl,"Oorzaak : Ongeval 
Effect : Omleiding 
Maatregelen : Vervallen halte(n) 
Halte tijdelijk vervallen i.v.m. verkeersongeval
",[],[],[],negative,0.482,vervangende
KV15:CXX:2025-06-09:11,Halte tijdelijk vervallen i.v.m. brand.,"Oorzaak : Brand 
Effect : Omleiding 
Maatregelen : Vervallen halte(n) 
Halte tijdelijk vervallen i.v.m. brand.
",6.0,4.0,"['2755099', '2755086', '2755092', '2755098', '2755089', '2755094', '2754939', '2754940', '2755095', '2755096', '2755090', '2755085', '2755097', '2755087', '2754937', '2755093', '2754924', '2754928', '2755091', '2755088', '2754941', '2754926']",,"[datetime.datetime(2025, 6, 9, 14, 55)]","[datetime.datetime(2025, 6, 9, 21, 59)]",2025-06-17 20:58:39.748383,nl,"Oorzaak : Brand 
Effect : Omleiding 
Maatregelen : Vervallen halte(n) 
Halte tijdelijk vervallen i.v.m. brand.
",[],[],[],neutral,0.595,vervangende
KV15:CXX:2025-06-12:4,"Lijn 12: halte vervallen t/m 13 juni 05:00.
","Oorzaak : Werkzaamheden 
Effect : Omleiding 
Maatregelen : Vervallen halte(n) 
Lijn 12: halte vervallen t/m 13 juni 05:00.

",9.0,4.0,"['2749642', '2749630']",,"[datetime.datetime(2025, 6, 12, 18, 0)]","[datetime.datetime(2025, 6, 13, 3, 0)]",2025-06-17 20:58:40.535578,nl,"Oorzaak : Werkzaamheden 
Effect : Omleiding 
Maatregelen : Vervallen halte(n) 
Lijn 12: halte vervallen t/m 13 juni 05:00.

",[],[],[],neutral,0.805,vervangende
KV15:CXX:2025-06-09:12,"Halte vervalt op 12 juni van 08:00 tot 21:15.
","Oorzaak : Wielerronde 
Effect : Omleiding 
Maatregelen : Vervangende halte(n) 
Halte vervalt op 12 juni van 08:00 tot 21:15.

",7.0,6.0,"['2746292', '2746294']",,"[datetime.datetime(2025, 6, 9, 16, 23)]","[datetime.datetime(2025, 6, 12, 5, 59)]",2025-06-17 20:58:41.401810,nl,"Oorzaak : Wielerronde 
Effect : Omleiding 
Maatregelen : Vervangende halte(n) 
Halte vervalt op 12 juni van 08:00 tot 21:15.

",[],[],[],neutral,0.672,vervangende
KV15:CXX:2025-06-12:5,"Halte vervallen t/m 13 juni 05:00. Tijdelijke halte: op de Slaperijk t.h.v. de Vergierdeweg.
","Oorzaak : Werkzaamheden 
Effect : Omleiding 
Maatregelen : Vervangende halte(n) 
Halte vervallen t/m 13 juni 05:00. Tijdelijke halte: op de Slaperijk t.h.v. de Vergierdeweg.

",9.0,6.0,"['2749629', '2749655']",,"[datetime.datetime(2025, 6, 12, 18, 0)]","[datetime.datetime(2025, 6, 13, 3, 0)]",2025-06-17 20:58:42.052617,nl,"Oorzaak : Werkzaamheden 
Effect : Omleiding 
Maatregelen : Vervangende halte(n) 
Halte vervallen t/m 13 juni 05:00. Tijdelijke halte: op de Slaperijk t.h.v. de Vergierdeweg.

","['Slaperijk', 'Vergierdeweg']",[],"[('Slaperijk', 'LOC'), ('Vergierdeweg', 'LOC')]",neutral,0.762,vervangende
KV15:CXX:2025-06-12:2,"Halte vervallen tot 21:15. Tijdelijke halte: aan de Bennebroekerweg t.h.v. Schrevelsgerecht.
","Oorzaak : Wielerronde 
Effect : Omleiding 
Maatregelen : Vervangende halte(n) 
Halte vervallen tot 21:15. Tijdelijke halte: aan de Bennebroekerweg t.h.v. Schrevelsgerecht.

",7.0,6.0,"['2746292', '2746294']",,"[datetime.datetime(2025, 6, 12, 6, 0)]","[datetime.datetime(2025, 6, 12, 19, 15)]",2025-06-17 20:58:42.700273,nl,"Oorzaak : Wielerronde 
Effect : Omleiding 
Maatregelen : Vervangende halte(n) 
Halte vervallen tot 21:15. Tijdelijke halte: aan de Bennebroekerweg t.h.v. Schrevelsgerecht.

","['Bennebroekerweg', 'Sch', 'velsgerecht']",[],"[('Bennebroekerweg', 'LOC'), ('Sch', 'LOC'), ('velsgerecht', 'LOC')]",neutral,0.746,vervangende
KV15:CXX:2025-06-12:3,"Halte vervallen tot 21:15. Vervangende halte: Rijshornplein.
","Oorzaak : Wielerronde 
Effect : Omleiding 
Maatregelen : Vervangende halte(n) 
Halte vervallen tot 21:15. Vervangende halte: Rijshornplein.

",7.0,6.0,"['2746297', '2746287']",,"[datetime.datetime(2025, 6, 12, 6, 0)]","[datetime.datetime(2025, 6, 12, 19, 15)]",2025-06-17 20:58:43.181401,nl,"Oorzaak : Wielerronde 
Effect : Omleiding 
Maatregelen : Vervangende halte(n) 
Halte vervallen tot 21:15. Vervangende halte: Rijshornplein.

",['Rijshornplein'],[],"[('Rijshornplein', 'LOC')]",neutral,0.635,vervangende
KV15:CXX:2025-06-09:15,"Lijn 12: halte vervalt van 12 juni 20:00 t/m 13 juni 05:00.
","Oorzaak : Werkzaamheden 
Effect : Omleiding 
Maatregelen : Vervallen halte(n) 
Lijn 12: halte vervalt van 12 juni 20:00 t/m 13 juni 05:00.

",9.0,4.0,"['2749642', '2749630']",,"[datetime.datetime(2025, 6, 9, 19, 26)]","[datetime.datetime(2025, 6, 12, 17, 59)]",2025-06-17 20:58:43.670761,nl,"Oorzaak : Werkzaamheden 
Effect : Omleiding 
Maatregelen : Vervallen halte(n) 
Lijn 12: halte vervalt van 12 juni 20:00 t/m 13 juni 05:00.

",[],[],[],neutral,0.794,vervangende
KV15:CXX:2025-06-12:1,"Halte vervallen tot 16:00. Tijdelijke halte: aan de Italielaan t.h.v. het kruispunt Livornostraat.

","Oorzaak : Werkzaamheden 
Effect : Omleiding 
Maatregelen : Vervangende halte(n) 
Halte vervallen tot 16:00. Tijdelijke halte: aan de Italielaan t.h.v. het kruispunt Livornostraat.


",9.0,6.0,"['2750695', '2750694']",,"[datetime.datetime(2025, 6, 12, 7, 0)]","[datetime.datetime(2025, 6, 12, 14, 0)]",2025-06-17 20:58:44.276507,nl,"Oorzaak : Werkzaamheden 
Effect : Omleiding 
Maatregelen : Vervangende halte(n) 
Halte vervallen tot 16:00. Tijdelijke halte: aan de Italielaan t.h.v. het kruispunt Livornostraat.


",['Livornostraat'],[],"[('Livornostraat', 'LOC')]",neutral,0.689,vervangende
KV15:CXX:2025-06-09:16,"Halte vervalt van 12 juni 20:00 t/m 13 juni 05:00.
","Oorzaak : Werkzaamheden 
Effect : Omleiding 
Maatregelen : Vervangende halte(n) 
Halte vervalt van 12 juni 20:00 t/m 13 juni 05:00.

",9.0,6.0,"['2749629', '2749655']",,"[datetime.datetime(2025, 6, 9, 19, 34)]","[datetime.datetime(2025, 6, 12, 17, 59)]",2025-06-17 20:58:44.745167,nl,"Oorzaak : Werkzaamheden 
Effect : Omleiding 
Maatregelen : Vervangende halte(n) 
Halte vervalt van 12 juni 20:00 t/m 13 juni 05:00.

",[],[],[],neutral,0.851,vervangende
KV15:QBUZZ:2025-06-03:5,Qbuzz: Lijn 44 stopt tot 14 juni 05:00 uur niet bij deze halte door wegwerkzaamheden. Maak gebruik van halte Hemelum van lijn 103.,"Oorzaak : Wegwerkzaamheden Wegwerkzaamheden
Effect : Haltes Claerbergen, Galamadammen, Flinkeboskje en Nijbuorren vervallen.
Maatregelen : 
Qbuzz: Lijn 44 stopt tot 14 juni 05:00 uur niet bij deze halte door wegwerkzaamheden. Maak gebruik van halte Hemelum van lijn 103.
",9.0,8.0,"['2898056', '2898057', '2898053', '2898052']",['117967'],"[datetime.datetime(2025, 6, 10, 17, 0)]","[datetime.datetime(2025, 6, 14, 3, 0)]",2025-06-17 20:58:45.531045,nl,"Oorzaak : Wegwerkzaamheden Wegwerkzaamheden
Effect : Haltes Claerbergen, Galamadammen, Flinkeboskje en Nijbuorren vervallen.
Maatregelen : 
Qbuzz: Lijn 44 stopt tot 14 juni 05:00 uur niet bij deze halte door wegwerkzaamheden. Maak gebruik van halte Hemelum van lijn 103.
","['Claerbergen', 'Galamadammen', 'Flinkeboskje', 'Nijbuorren', 'Hemelum']",[],"[('Claerbergen', 'LOC'), ('Galamadammen', 'LOC'), ('Flinkeboskje', 'LOC'), ('Nijbuorren', 'LOC'), ('Hemelum', 'LOC')]",neutral,0.547,qbuzz
SIRIGM:1316651-1-1080-2,Bus N82 rijdt om vanaf halte Nolensstraat. Oorzaak: Werkzaamheden. Details: gvb.nl -- Bus N82 runs a diverted route from Nolensstraat. Cause,Bus N82 rijdt om vanaf halte Nolensstraat. Oorzaak: Werkzaamheden. Details: gvb.nl -- Bus N82 runs a diverted route from Nolensstraat. Cause: Works. Details: gvb.nl,,,"['3152854', '2636349']",,"[datetime.datetime(2025, 5, 30, 3, 0)]","[datetime.datetime(2025, 6, 14, 17, 0, 32)]",2025-06-17 20:58:46.374457,nl,Bus N82 rijdt om vanaf halte Nolensstraat. Oorzaak: Werkzaamheden. Details: gvb.nl -- Bus N82 runs a diverted route from Nolensstraat. Cause: Works. Details: gvb.nl,"['Nolensstraat', 'Nolensstraat']",[],"[('Nolensstraat', 'LOC'), ('Nolensstraat', 'LOC')]",neutral,0.91,gvb
KV15:QBUZZ:2025-06-03:6,Qbuzz: Lijn 9 stopt op 15 juni van 11:00 tot 20:00 uur niet bij deze halte door een evenement. Maak gebruik van halte Kosterijweg.,"Oorzaak : Jaarmarkt Evenement
Effect : Halte Kerkhoflaan vervalt.
Maatregelen : 
Qbuzz: Lijn 9 stopt op 15 juni van 11:00 tot 20:00 uur niet bij deze halte door een evenement. Maak gebruik van halte Kosterijweg.
",7.0,8.0,"['3126897', '3104215', '3146399', '3126898', '3130993', '3118899', '3135623', '3118898', '3130992', '3135624', '3104216', '3146400']",['106176'],"[datetime.datetime(2025, 6, 15, 9, 0)]","[datetime.datetime(2025, 6, 15, 18, 0)]",2025-06-17 20:58:47.443615,nl,"Oorzaak : Jaarmarkt Evenement
Effect : Halte Kerkhoflaan vervalt.
Maatregelen : 
Qbuzz: Lijn 9 stopt op 15 juni van 11:00 tot 20:00 uur niet bij deze halte door een evenement. Maak gebruik van halte Kosterijweg.
","['Kerkhoflaan', 'Lijn', 'Kosterijweg']",[],"[('Kerkhoflaan', 'LOC'), ('Lijn', 'LOC'), ('Kosterijweg', 'LOC')]",neutral,0.733,qbuzz
KV15:QBUZZ:2025-06-03:4,"Qbuzz: Lijn 44 stopt tot 14 juni 05:00 uur niet bij deze halte door wegwerkzaamheden. Maak gebruik van halte Koudum, Centrum.","Oorzaak : Wegwerkzaamheden Wegwerkzaamheden
Effect : Haltes Claerbergen, Galamadammen, Flinkeboskje en Nijbuorren vervallen.
Maatregelen : 
Qbuzz: Lijn 44 stopt tot 14 juni 05:00 uur niet bij deze halte door wegwerkzaamheden. Maak gebruik van halte Koudum, Centrum.
",9.0,8.0,"['2898078', '2898050', '2898079', '2898051']",['117967'],"[datetime.datetime(2025, 6, 10, 17, 0)]","[datetime.datetime(2025, 6, 14, 3, 0)]",2025-06-17 20:58:48.617392,nl,"Oorzaak : Wegwerkzaamheden Wegwerkzaamheden
Effect : Haltes Claerbergen, Galamadammen, Flinkeboskje en Nijbuorren vervallen.
Maatregelen : 
Qbuzz: Lijn 44 stopt tot 14 juni 05:00 uur niet bij deze halte door wegwerkzaamheden. Maak gebruik van halte Koudum, Centrum.
","['Claerbergen', 'Galamadammen', 'Flinkeboskje', 'Nijbuorren', 'Q', 'Lijn', 'Koudum', 'Centrum']",[],"[('Claerbergen', 'LOC'), ('Galamadammen', 'LOC'), ('Flinkeboskje', 'LOC'), ('Nijbuorren', 'LOC'), ('Q', 'LOC'), ('Lijn', 'LOC'), ('Koudum', 'LOC'), ('Centrum', 'LOC')]",neutral,0.533,qbuzz
KV15:CXX:2025-06-10:10,"Halte vervallen t/m 11 juni 05:30. Download de Transdev app voor meer actuele reisinformatie.
","Oorzaak : Werkzaamheden 
Effect : Omleiding 
Maatregelen : Vervangende halte(n) 
Halte vervallen t/m 11 juni 05:30. Download de Transdev app voor meer actuele reisinformatie.

",9.0,6.0,['2746838'],,"[datetime.datetime(2025, 6, 10, 19, 0)]","[datetime.datetime(2025, 6, 11, 3, 30)]",2025-06-17 20:58:49.356703,nl,"Oorzaak : Werkzaamheden 
Effect : Omleiding 
Maatregelen : Vervangende halte(n) 
Halte vervallen t/m 11 juni 05:30. Download de Transdev app voor meer actuele reisinformatie.

",[],[],[],neutral,0.816,download
KV15:CXX:2025-06-10:11,"Halte vervallen t/m 27 juni 18:00. Vervangende halte: Steve Bikoplein.
","Oorzaak : Werkzaamheden 
Effect : Omleiding 
Maatregelen : Vervangende halte(n) 
Halte vervallen t/m 27 juni 18:00. Vervangende halte: Steve Bikoplein.

",9.0,6.0,"['2748631', '2748632', '2748630', '2748628']",,"[datetime.datetime(2025, 6, 10, 3, 0)]","[datetime.datetime(2025, 6, 27, 16, 0)]",2025-06-17 20:58:49.874126,nl,"Oorzaak : Werkzaamheden 
Effect : Omleiding 
Maatregelen : Vervangende halte(n) 
Halte vervallen t/m 27 juni 18:00. Vervangende halte: Steve Bikoplein.

",['Steve Bikoplein'],[],"[('Steve Bikoplein', 'LOC')]",neutral,0.66,vervangende
KV15:CXX:2025-06-10:12,"Halte vervallen t/m 22 augustus. Plan je reis op hermes.nl.
","Oorzaak : Koninginnedag 
Effect : Omleiding 
Maatregelen : Vervallen halte(n) 
Halte vervallen t/m 22 augustus. Plan je reis op hermes.nl.

",7.0,4.0,"['2751478', '2751916', '2751920', '2751477', '2751475', '2751913', '2751476', '2751919']",,"[datetime.datetime(2025, 6, 9, 22, 1)]","[datetime.datetime(2025, 8, 22, 21, 59)]",2025-06-17 20:58:50.404811,nl,"Oorzaak : Koninginnedag 
Effect : Omleiding 
Maatregelen : Vervallen halte(n) 
Halte vervallen t/m 22 augustus. Plan je reis op hermes.nl.

",[],[],[],neutral,0.74,vervangende
SIRIGM:1012951-2-1084-3,Bus N87 stopt hier niet. Oorzaak: Werkzaamheden. Details: gvb.nl -- Stop not served by bus N87. Cause: Works. Details: gvb.nl,Bus N87 stopt hier niet. Oorzaak: Werkzaamheden. Details: gvb.nl -- Stop not served by bus N87. Cause: Works. Details: gvb.nl,,,"['3153052', '2635970']",,"[datetime.datetime(2024, 10, 25, 15, 17, 35)]","[datetime.datetime(2025, 6, 13, 23, 0)]",2025-06-17 20:58:50.924853,nl,Bus N87 stopt hier niet. Oorzaak: Werkzaamheden. Details: gvb.nl -- Stop not served by bus N87. Cause: Works. Details: gvb.nl,[],[],[],negative,0.696,gvb
KV15:ARR:2025-05-23:8,Halte ALLEEN RICHTING ECHT Di. 10-06 aanvang dienst t/m Wo. 11-06 einde dienst vervallen i.v.m. werkzaamheden. Alternatief: halte: Zuidsingel + Lijn 68 tevens halte Stevensweerterweg.,"Halte ALLEEN RICHTING ECHT Di. 10-06 aanvang dienst t/m Wo. 11-06 einde dienst vervallen i.v.m. werkzaamheden. Alternatief: halte: Zuidsingel + Lijn 68 tevens halte Stevensweerterweg.
",1.0,8.0,"['3084454', '3084452']","['127916', '127917']","[datetime.datetime(2025, 6, 5, 9, 5)]","[datetime.datetime(2025, 6, 11, 21, 59)]",2025-06-17 20:58:51.638998,nl,"Halte ALLEEN RICHTING ECHT Di. 10-06 aanvang dienst t/m Wo. 11-06 einde dienst vervallen i.v.m. werkzaamheden. Alternatief: halte: Zuidsingel + Lijn 68 tevens halte Stevensweerterweg.
","['Zuidsingel', 'Lijn', 'Stevensweerterweg']",[],"[('Zuidsingel', 'LOC'), ('Lijn', 'LOC'), ('Stevensweerterweg', 'LOC')]",negative,0.606,de
KV15:ARR:2025-06-05:18,IVM Wegwerkzaamheden is deze halte vervallen maak gebruik van de tijdelijke halte thv de Wibra.,"IVM Wegwerkzaamheden is deze halte vervallen maak gebruik van de tijdelijke halte thv de Wibra.
",1.0,8.0,"['3077622', '3077689']",['128155'],"[datetime.datetime(2025, 4, 22, 2, 52)]","[datetime.datetime(2025, 6, 10, 21, 59)]",2025-06-17 20:58:52.024919,nl,"IVM Wegwerkzaamheden is deze halte vervallen maak gebruik van de tijdelijke halte thv de Wibra.
",['Wibra'],[],"[('IVM Wegwerkzaamheden', 'ORG'), ('Wibra', 'LOC')]",negative,0.566,de
KV15:ARR:2025-06-05:17,IVM Wegwerkzaamheden is deze halte vervallen maak gebruik van de tijdelijke halte thv de Wibra alleen richting station.,"IVM Wegwerkzaamheden is deze halte vervallen maak gebruik van de tijdelijke halte thv de Wibra alleen richting station.
",1.0,8.0,"['3077622', '3077689']",['128168'],"[datetime.datetime(2025, 4, 22, 2, 52)]","[datetime.datetime(2025, 6, 10, 21, 59)]",2025-06-17 20:58:52.406384,nl,"IVM Wegwerkzaamheden is deze halte vervallen maak gebruik van de tijdelijke halte thv de Wibra alleen richting station.
",['Wi'],[],"[('IVM Wegwerkzaamheden', 'ORG'), ('Wi', 'LOC')]",negative,0.552,de
